ID,FullName,DOB,Sex,Class,HCode,DCode,Remission,MTest,PTest
1,r,04-06-86 00:00,F,1A,R,SSP,1,55,80
2,MARY,10-01-86 00:00,F,1A,R,HHM,0,89,92
3,PETER Agrawal,17-03-86 00:00,M,1A,G,HHM,1,100,100
4,WENDY,12-07-86 00:00,F,1B,B,YMT,1,99,80
5,Tobeee,17-10-86 00:00,M,1B,R,YMT,0,88,90
6,Prateik,18-10-87 00:00,M,1B,G,HHM,0,95,90
7,Rupa,05-12-85 00:00,F,1C,R,YMT,1,98,90
8,Y43T,12-05-86 00:00,M,1A,R,SSP,0,75,100
9,Ramish,12-03-87 00:00,M,1A,B,HHM,1,87,100
10,Rupa,11-03-86 00:00,M,1C,R,HHM,0,81,98
11,ARENA,12-02-86 00:00,M,1A,G,YMT,0,98,78
13,baba,02-02-11 00:00,M,1C,B,DDD,1,98,94
14,Rupa,08-02-00 00:00,M,1A,B,HWH,1,95,0
15,Prateek,23-07-09 00:00,M,2A,R,DDD,1,91,90
21,TEENA,01-09-11 00:00,F,1B,B,HHM,1,93,45
890,*ba,01-08-12 00:00,T,T,T,T,0,67,666
893,aaa,04-12-11 00:00,T,T,T,T,0,99,666
